Rows: 7 Columns: 11
3 8 1 9 9 3 1 6 2 4 6 
9 2 2 6 7 3 4 5 1 2 2 
4 2 1 1 0 3 0 2 2 5 9 
2 9 9 6 5 8 0 5 9 7 3 
8 8 7 7 7 0 8 3 9 0 8 
4 5 7 8 3 3 1 1 6 3 2 
5 7 3 7 8 1 3 1 2 1 4 
Number of tripods: 66
Optimal placement:
location: (4,9), orientation: NORTH, sum: 24
location: (4,2), orientation: NORTH, sum: 24
location: (4,1), orientation: NORTH, sum: 24
location: (3,10), orientation: WEST, sum: 24
location: (5,4), orientation: WEST, sum: 23
location: (4,5), orientation: NORTH, sum: 23
location: (5,1), orientation: EAST, sum: 22
location: (4,7), orientation: NORTH, sum: 22
location: (4,3), orientation: SOUTH, sum: 22
location: (3,2), orientation: SOUTH, sum: 22
location: (6,2), orientation: NORTH, sum: 21
location: (5,3), orientation: WEST, sum: 21
location: (3,8), orientation: SOUTH, sum: 21
location: (3,6), orientation: SOUTH, sum: 21
location: (3,4), orientation: SOUTH, sum: 21
location: (3,3), orientation: SOUTH, sum: 21
location: (3,0), orientation: EAST, sum: 21
location: (5,2), orientation: NORTH, sum: 20
location: (6,3), orientation: NORTH, sum: 19
location: (3,1), orientation: EAST, sum: 19
location: (1,1), orientation: NORTH, sum: 19
location: (0,4), orientation: SOUTH, sum: 19
location: (0,2), orientation: SOUTH, sum: 19
location: (5,0), orientation: EAST, sum: 18
location: (4,8), orientation: WEST, sum: 18
location: (2,9), orientation: EAST, sum: 18
location: (1,4), orientation: NORTH, sum: 18
location: (1,3), orientation: NORTH, sum: 18
location: (3,9), orientation: NORTH, sum: 17
location: (1,10), orientation: WEST, sum: 17
location: (2,8), orientation: SOUTH, sum: 16
location: (0,3), orientation: SOUTH, sum: 16
location: (5,10), orientation: WEST, sum: 15
location: (4,4), orientation: WEST, sum: 15
location: (2,4), orientation: EAST, sum: 15
location: (2,1), orientation: WEST, sum: 15
location: (6,5), orientation: NORTH, sum: 14
location: (5,8), orientation: EAST, sum: 14
location: (5,6), orientation: WEST, sum: 14
location: (4,0), orientation: EAST, sum: 14
location: (3,7), orientation: EAST, sum: 14
location: (1,5), orientation: NORTH, sum: 14
location: (6,1), orientation: NORTH, sum: 13
location: (2,3), orientation: WEST, sum: 13
location: (2,2), orientation: WEST, sum: 13
location: (2,0), orientation: EAST, sum: 13
location: (0,6), orientation: SOUTH, sum: 13
location: (0,5), orientation: SOUTH, sum: 13
location: (2,7), orientation: EAST, sum: 12
location: (1,7), orientation: WEST, sum: 12
location: (6,4), orientation: NORTH, sum: 11
location: (2,5), orientation: EAST, sum: 11
location: (1,9), orientation: EAST, sum: 11
location: (0,8), orientation: SOUTH, sum: 11
location: (5,7), orientation: NORTH, sum: 10
location: (2,10), orientation: WEST, sum: 10
location: (0,9), orientation: SOUTH, sum: 10
location: (6,9), orientation: NORTH, sum: 9
location: (5,9), orientation: SOUTH, sum: 9
location: (2,6), orientation: NORTH, sum: 9
location: (1,8), orientation: NORTH, sum: 9
location: (1,6), orientation: NORTH, sum: 9
location: (1,2), orientation: NORTH, sum: 9
location: (1,0), orientation: EAST, sum: 9
location: (6,8), orientation: NORTH, sum: 8
location: (3,5), orientation: NORTH, sum: 8
Total sum: 1047
