Rows: 20 Columns: 30
7 5 5 0 2 7 5 8 6 8 9 4 7 6 2 6 0 9 2 4 4 2 5 1 5 7 6 1 9 9 
1 1 7 9 9 9 3 8 3 3 3 5 4 7 5 0 1 6 3 7 9 8 5 2 9 9 3 8 1 9 
8 5 6 9 9 5 9 0 8 2 2 4 0 5 0 7 0 9 1 3 0 7 1 8 4 4 2 3 8 3 
8 5 7 3 8 2 0 4 7 8 6 6 1 7 4 7 7 9 7 6 1 2 1 0 4 1 3 0 7 8 
0 7 9 7 1 2 2 9 2 9 9 5 8 0 6 6 7 2 9 7 5 6 7 9 9 9 4 5 6 0 
0 9 0 8 4 4 5 8 4 2 3 9 1 3 8 1 5 8 3 1 1 7 1 8 3 9 5 9 6 6 
7 0 3 1 3 1 8 4 8 6 5 0 9 2 8 1 6 0 8 9 0 4 7 1 4 4 4 0 9 9 
1 0 1 7 9 1 1 2 0 6 2 1 1 5 9 3 2 5 6 5 1 4 4 7 2 3 1 3 4 7 
6 9 1 3 9 4 3 4 1 3 9 3 5 2 2 2 8 4 3 3 3 4 1 5 3 9 7 6 9 0 
2 4 6 7 8 0 0 3 8 5 4 7 6 3 9 4 3 1 8 5 2 4 7 0 0 4 2 6 4 9 
4 3 9 5 1 3 0 0 9 3 2 6 1 2 3 2 6 8 5 8 2 9 5 6 7 9 5 2 8 4 
7 2 6 4 7 4 1 1 6 5 9 6 4 8 1 3 3 7 9 8 2 1 0 4 9 8 6 4 5 2 
7 5 7 0 0 6 4 7 5 1 4 3 2 5 7 3 0 2 2 6 8 1 8 4 8 4 0 6 1 7 
4 6 9 8 7 8 6 4 9 9 0 9 0 9 2 8 3 1 3 6 4 9 7 2 2 3 1 7 4 8 
0 6 2 6 9 7 3 9 9 8 4 8 1 8 2 0 6 7 3 4 3 1 6 5 8 9 4 1 5 7 
4 8 9 9 0 4 0 9 4 1 6 9 9 3 1 9 9 0 2 0 8 1 5 1 5 6 3 7 3 1 
5 5 4 1 8 6 5 5 0 6 9 4 2 1 5 5 3 2 2 7 9 7 2 6 8 6 3 8 4 4 
4 9 6 3 1 6 1 1 8 2 0 4 2 9 2 2 8 6 1 6 2 7 3 1 1 1 3 6 7 4 
2 9 9 5 2 9 4 5 3 1 3 8 9 1 9 0 8 8 9 7 0 4 4 3 4 2 1 3 3 1 
6 6 2 1 5 5 7 4 4 2 0 8 2 8 0 9 4 7 5 2 7 4 3 4 0 2 0 6 2 1 
Number of tripods: 500
Optimal placement:
location: (18,13), orientation: NORTH, sum: 27
location: (2,5), orientation: NORTH, sum: 27
location: (1,4), orientation: SOUTH, sum: 27
location: (19,14), orientation: NORTH, sum: 26
location: (18,15), orientation: SOUTH, sum: 26
location: (15,4), orientation: WEST, sum: 26
location: (14,8), orientation: NORTH, sum: 26
location: (14,3), orientation: EAST, sum: 26
location: (9,28), orientation: EAST, sum: 26
location: (5,24), orientation: NORTH, sum: 26
location: (5,12), orientation: WEST, sum: 26
location: (5,2), orientation: NORTH, sum: 26
location: (4,17), orientation: EAST, sum: 26
location: (4,11), orientation: SOUTH, sum: 26
location: (2,4), orientation: WEST, sum: 26
location: (1,28), orientation: NORTH, sum: 26
location: (1,6), orientation: SOUTH, sum: 26
location: (19,12), orientation: NORTH, sum: 25
location: (14,12), orientation: SOUTH, sum: 25
location: (13,7), orientation: EAST, sum: 25
location: (13,4), orientation: SOUTH, sum: 25
location: (12,21), orientation: SOUTH, sum: 25
location: (10,18), orientation: EAST, sum: 25
location: (8,29), orientation: WEST, sum: 25
location: (7,28), orientation: EAST, sum: 25
location: (5,18), orientation: WEST, sum: 25
location: (4,8), orientation: NORTH, sum: 25
location: (2,29), orientation: WEST, sum: 25
location: (2,7), orientation: NORTH, sum: 25
location: (1,3), orientation: SOUTH, sum: 25
location: (19,16), orientation: NORTH, sum: 24
location: (18,17), orientation: SOUTH, sum: 24
location: (18,1), orientation: EAST, sum: 24
location: (14,2), orientation: EAST, sum: 24
location: (13,14), orientation: NORTH, sum: 24
location: (12,13), orientation: EAST, sum: 24
location: (11,25), orientation: NORTH, sum: 24
location: (10,24), orientation: SOUTH, sum: 24
location: (6,7), orientation: NORTH, sum: 24
location: (5,28), orientation: SOUTH, sum: 24
location: (4,23), orientation: SOUTH, sum: 24
location: (3,18), orientation: SOUTH, sum: 24
location: (3,3), orientation: NORTH, sum: 24
location: (2,3), orientation: NORTH, sum: 24
location: (17,14), orientation: WEST, sum: 23
location: (15,11), orientation: NORTH, sum: 23
location: (14,15), orientation: EAST, sum: 23
location: (13,22), orientation: WEST, sum: 23
location: (13,20), orientation: NORTH, sum: 23
location: (13,8), orientation: EAST, sum: 23
location: (11,24), orientation: EAST, sum: 23
location: (11,19), orientation: WEST, sum: 23
location: (8,3), orientation: EAST, sum: 23
location: (6,11), orientation: NORTH, sum: 23
location: (5,10), orientation: EAST, sum: 23
location: (4,1), orientation: EAST, sum: 23
location: (3,17), orientation: NORTH, sum: 23
location: (3,16), orientation: SOUTH, sum: 23
location: (3,10), orientation: SOUTH, sum: 23
location: (2,16), orientation: SOUTH, sum: 23
location: (2,2), orientation: EAST, sum: 23
location: (1,26), orientation: NORTH, sum: 23
location: (0,27), orientation: SOUTH, sum: 23
location: (17,20), orientation: NORTH, sum: 22
location: (17,12), orientation: SOUTH, sum: 22
location: (17,2), orientation: WEST, sum: 22
location: (16,20), orientation: NORTH, sum: 22
location: (16,16), orientation: WEST, sum: 22
location: (16,11), orientation: WEST, sum: 22
location: (16,1), orientation: WEST, sum: 22
location: (15,24), orientation: EAST, sum: 22
location: (15,10), orientation: EAST, sum: 22
location: (14,11), orientation: WEST, sum: 22
location: (14,10), orientation: SOUTH, sum: 22
location: (14,9), orientation: NORTH, sum: 22
location: (14,7), orientation: EAST, sum: 22
location: (14,6), orientation: NORTH, sum: 22
