Rows: 100 Columns: 100
Too large to print!
Number of tripods: 1000
Optimal placement:
location: (91,96), orientation: SOUTH, sum: 27
location: (90,34), orientation: NORTH, sum: 27
location: (89,33), orientation: SOUTH, sum: 27
location: (88,82), orientation: WEST, sum: 27
location: (86,82), orientation: EAST, sum: 27
location: (86,79), orientation: WEST, sum: 27
location: (85,78), orientation: EAST, sum: 27
location: (80,70), orientation: EAST, sum: 27
location: (76,88), orientation: WEST, sum: 27
location: (75,87), orientation: SOUTH, sum: 27
location: (75,85), orientation: NORTH, sum: 27
location: (73,53), orientation: WEST, sum: 27
location: (72,12), orientation: EAST, sum: 27
location: (71,53), orientation: EAST, sum: 27
location: (70,61), orientation: SOUTH, sum: 27
location: (69,35), orientation: NORTH, sum: 27
location: (68,36), orientation: WEST, sum: 27
location: (61,53), orientation: WEST, sum: 27
location: (61,23), orientation: NORTH, sum: 27
location: (61,5), orientation: EAST, sum: 27
location: (60,29), orientation: SOUTH, sum: 27
location: (60,24), orientation: WEST, sum: 27
location: (51,66), orientation: WEST, sum: 27
location: (50,11), orientation: NORTH, sum: 27
location: (50,2), orientation: NORTH, sum: 27
location: (45,26), orientation: EAST, sum: 27
location: (38,62), orientation: NORTH, sum: 27
location: (33,96), orientation: EAST, sum: 27
location: (33,43), orientation: EAST, sum: 27
location: (32,22), orientation: NORTH, sum: 27
location: (30,89), orientation: EAST, sum: 27
location: (27,97), orientation: NORTH, sum: 27
location: (26,96), orientation: SOUTH, sum: 27
location: (26,71), orientation: NORTH, sum: 27
location: (25,95), orientation: WEST, sum: 27
location: (25,70), orientation: EAST, sum: 27
location: (24,2), orientation: SOUTH, sum: 27
location: (22,28), orientation: WEST, sum: 27
location: (22,26), orientation: NORTH, sum: 27
location: (21,27), orientation: SOUTH, sum: 27
location: (19,56), orientation: EAST, sum: 27
location: (18,87), orientation: NORTH, sum: 27
location: (18,78), orientation: WEST, sum: 27
location: (18,57), orientation: WEST, sum: 27
location: (17,56), orientation: EAST, sum: 27
location: (17,5), orientation: NORTH, sum: 27
