Rows: 1000 Columns: 1000
Too large to print!
Number of tripods: 5000
Optimal placement:
location: (999,318), orientation: NORTH, sum: 27
location: (998,813), orientation: WEST, sum: 27
location: (998,364), orientation: NORTH, sum: 27
location: (997,782), orientation: SOUTH, sum: 27
location: (997,749), orientation: NORTH, sum: 27
location: (997,344), orientation: NORTH, sum: 27
location: (997,322), orientation: WEST, sum: 27
location: (996,835), orientation: NORTH, sum: 27
location: (996,800), orientation: SOUTH, sum: 27
location: (996,786), orientation: WEST, sum: 27
location: (996,718), orientation: NORTH, sum: 27
location: (996,315), orientation: EAST, sum: 27
location: (995,877), orientation: EAST, sum: 27
location: (995,801), orientation: EAST, sum: 27
location: (995,719), orientation: WEST, sum: 27
location: (995,643), orientation: NORTH, sum: 27
location: (995,307), orientation: NORTH, sum: 27
location: (994,861), orientation: EAST, sum: 27
location: (994,644), orientation: WEST, sum: 27
location: (994,257), orientation: EAST, sum: 27
location: (993,888), orientation: EAST, sum: 27
location: (993,550), orientation: WEST, sum: 27
location: (993,540), orientation: SOUTH, sum: 27
location: (993,390), orientation: NORTH, sum: 27
location: (992,650), orientation: WEST, sum: 27
location: (992,317), orientation: SOUTH, sum: 27
location: (991,921), orientation: WEST, sum: 27
location: (991,712), orientation: EAST, sum: 27
location: (991,528), orientation: NORTH, sum: 27
location: (990,709), orientation: WEST, sum: 27
location: (990,528), orientation: EAST, sum: 27
location: (990,363), orientation: NORTH, sum: 27
location: (990,181), orientation: NORTH, sum: 27
location: (989,892), orientation: SOUTH, sum: 27
location: (989,708), orientation: EAST, sum: 27
location: (989,362), orientation: SOUTH, sum: 27
location: (989,361), orientation: SOUTH, sum: 27
location: (988,771), orientation: SOUTH, sum: 27
location: (988,709), orientation: NORTH, sum: 27
location: (988,707), orientation: NORTH, sum: 27
location: (988,69), orientation: NORTH, sum: 27
location: (987,882), orientation: WEST, sum: 27
location: (987,782), orientation: NORTH, sum: 27
location: (987,722), orientation: WEST, sum: 27
location: (987,708), orientation: SOUTH, sum: 27
